kr_number,title,dynasty,author
KR1h0033,讀四書叢說,元,許謙
KR4c0054,皇甫持正集,唐,皇甫湜
KR4c0111,浣花集,唐,韋莊
KR4d0072,嘉祐集,宋,蘇洵
KR4d0524,青陽集,元,余闕
KR4c0004,盈川集,唐,楊炯
KR4c0068,元氏長慶集,唐,元禛
KR4d0309,白石道人詩集,宋,姜夔
KR4d0497,文安集,元,揭傒斯
KR2g0003,晏子春秋,周,晏嬰
KR1b0059,尚書大傳,漢,伏勝
KR3a0007,說苑,漢,劉向
KR4e0131,家藏集,明,吳寬
KR4h0041,古文關鍵,宋,呂祖謙
KR4j0066,花菴詞選,宋,黃昇
KR4d0493,道園學古錄,元,虞集
KR4h0069,中州集,金,元好問
KR3f0032,九章算術,晉,劉徽
KR4h0024,唐文粹,宋,姚鉉
KR4d0034,蘇學士集,宋,蘇舜欽
KR3j0005,愼子,周,愼到
KR2n0044,淳化祕閣法帖考正,清,王澍
KR2b0007,資治通鑑,宋,司馬光
KR4d0171,韋齋集,宋,朱松
KR4c0028,顏魯公集,唐,顏眞卿
KR3e0002,靈樞經,唐,王冰
KR4c0058,孟東野詩集,唐,孟郊
KR4d0207,默堂集,宋,陳淵
KR4c0110,禪月集,唐,釋貫休
KR4d0093,參寥子詩集,宋,釋道潛
KR2b0008,資治通鑑考異,宋,司馬光
KR4c0079,丁卯詩集,唐,許渾
KR4h0073,河汾諸老詩集,元,房祺
KR2e0016,大金弔伐錄,,闕名
KR1j0010,羣經音辨,宋,賈昌朝
KR3h0040,法書考,元,盛熙明
KR4b0018,庾子山集,北周,庾信
KR3l0016,雲仙雜記,唐,馮贄
KR4d0495,楊仲弘集,元,楊戴
KR3k0035,小字錄,宋,陳思
KR4e0215,震川集,明,歸有光
KR4b0012,謝宣域集,南齊,謝眺
KR1a0003,周易鄭康成註,漢,鄭玄
KR2e0001,國語,吳,韋昭
KR3l0067,清波雜誌,宋,周煇
KR4d0268,渭南文集,宋,陸游
KR4d0085,山谷內集詩注,宋,黃庭堅
KR4c0055,李文公集,唐,李翱
KR4d0266,誠齋集,宋,楊萬里
KR3j0024,獨斷,漢,蔡邕
KR4d0306,西山文集,宋,眞德秀
KR1j0054,原本廣韻,,闕名
KR4b0019,徐孝穆集箋注,陳,徐陵
KR4d0091,淮海集,宋,秦觀
